latitude,longitude,pm25
16.536107,80.594233,44
26.146529,87.454184,35
25.42742023,86.13886079,24
25.7808257,84.7446768,18
26.181742,91.78063,15
16.554731,80.64911,62
17.72,83.3,60
26.446912,91.439057,50
13.20488,79.097889,68
26.2271665,84.3570427,
30.751462,76.762879,40
28.695381,77.181665,81
25.596727,85.085624,48
28.7500499,77.1112615,47
25.592539,85.227158,29
22.06631475,83.33820077,14
23.016834,72.625775,46
28.6811736,77.3025234,40
28.530785,77.271255,45
28.674045,77.131023,71
23.163798,72.677768,35
22.977134,72.553024,49
28.822836,77.101981,66
30.943887,76.801991,64
34.066206,74.81982,
23.80569,86.44268,28
13.94,75.555917,30
22.410802,73.097923,202
13.428828,77.731418,10
13.029152,77.585901,
12.938539,77.5901,14
8.5149093,76.9435879,39
19.87562,75.38731,29
24.2613009,80.7231783,
23.142888,79.916147,90
16.802639,75.722694,
16.7602,77.1428,12
11.875,75.3732,44
26.259242,78.216432,23
23.210494,77.425409,17
19.296481,72.840923,21
19.23241,72.86895,31
18.9767,72.838,17
19.10078,72.87462,38
18.91,72.82,29
19.0863,72.8888,62
19.19709,72.82204,15
19.9629,79.298714,28
21.001264,75.565602,29
19.1878657,72.8304069,15
18.536457,73.805454,32
20.021503,73.813844,24
19.95022,73.73148,51
19.173852,77.296291,22
18.614767,73.799516,24
18.45445,73.854155,24
19.1135051,73.008978,22
19.0575752,73.0151367,28
31.62,74.876512,181
25.747299,71.393989,23
30.649961,76.331442,56
26.902909,75.836858,51
27.215415,77.50873,6
28.194909,76.862296,140
25.14389,75.821256,185
24.892047,74.623527,8
13.0052189,80.2398125,48
11.0328,77.0349,
11.6829898,79.7532099,31
11.7637683,79.7499835,22
11.258242,77.552761,27
9.865935,78.022669,
13.0664,80.2112,37
28.646233,77.358075,53
28.757294,77.278792,92
27.19412,77.96237,
28.964949,77.278761,29
28.359581,79.414455,
17.429398,78.569354,50
17.528544,78.286195,36
26.766433,80.927299,76
28.88528,78.7388,35
28.9535882,77.7622941,35
28.5447608,77.3231257,48
25.425602,81.917152,30
25.44919916,81.82735986,21
27.571409,77.655757,
23.685297,86.945968,44
23.618183,87.105718,31
23.616515,87.119133,38
25.5626095,84.663264,
24.75746,84.366208,
27.103358,93.679645,
26.0881305,87.93840336,
27.308328,84.531742,
24.952822,84.002396,
30.735567,76.775714,41
21.194815,81.31477,10
21.224231,81.40835,8
28.498571,77.26484,45
22.118125,83.140608,
25.892357,86.590325,
28.7762,77.051074,84
28.7256504,77.2011573,52
25.599486,85.113666,22
28.5918245,77.2273074,41
28.636429,77.201067,72
28.684678,77.076574,63
23.002657,72.591912,60
23.020509,72.579261,46
28.710508,77.249485,64
28.623763,77.287209,
28.56789,77.250515,58
23.04307,72.562968,
23.076793,72.627874,31
28.73282,77.170633,72
12.917348,77.622813,25
16.172806,75.659694,33
15.888653,74.541751,
13.008556,76.125258,14
13.0270199,77.494094,27
13.0246342,77.5080115,53
12.88925,74.853,38
22.624758,75.675238,24
19.863756,75.321188,44
23.838586,78.759431,19
26.203442,78.193251,22
23.163174,79.973061,14
19.192056,72.9585188,42
16.6870449,74.2505872,12
20.555712,74.529236,43
19.2058,72.8682,44
19.309073,73.057223,29
19.786089,72.757971,42
20.918946,74.776388,30
19.065931,72.862131,37
19.090337,73.014232,19
19.008751,73.01662,27
17.65439,75.90649,15
19.26777,72.97182,46
19.445821,72.7988231,
19.063,73.1209,29
18.459883,73.852193,33
19.3832,72.8204,
25.6635413,94.0989878,
20.832874,85.104082,13
21.8004996,83.8396977,17
20.48891,85.84768,8
30.349388,76.366642,32
21.847279,85.416905,15
31.321907,75.578914,56
21.606865,85.510538,26
26.912329,70.909168,26
24.588397,76.172782,22
26.268249,73.0193853,42
26.253384,72.976571,8
25.435774,75.644272,20
26.843698,75.766894,68
26.9164092,75.7994901,46
26.895552,76.334753,
10.7654824,79.1389968,
8.728442,77.6962,24
10.681158,78.741746,28
10.423417,78.784889,
24.5886166,73.6321397,31
10.798548,79.838212,22
13.1278,80.2642,38
26.730136,83.433859,10
28.47272,77.482,41
28.557054,77.453663,50
28.725645,77.749675,51
26.428282,80.327067,53
17.544899,78.486949,50
27.19865833,78.00598056,9
23.549395,87.300496,60
23.697936,86.944395,28
28.2348927,77.8683002,66
29.06351,77.709723,46
28.840739,78.697531,30
28.6245479,77.3577104,35
22.554954,88.292568,25
22.5687319,88.2797276,36
22.5367507,88.3638022,36
22.51106,88.35142,16
25.586562,85.043586,35
26.80365,84.51954,
24.792403,84.992416,44
24.762518,84.982348,23
25.697189,85.2459,81
26.63086,84.90051,
25.56752,83.966379,16
16.5150833,80.5181667,20
14.675886,77.593027,
16.9872867,81.7363176,24
21.219665,81.630094,11
30.719859,76.738637,37
28.647622,77.315809,68
28.4706914,77.1099364,41
28.5710274,77.0719006,88
21.613267,73.010555,33
23.243639,72.68994,44
23.107969,72.574648,19
23.023389,72.515201,35
28.60909,77.0325413,78
28.570173,76.933762,72
28.531346,77.190156,50
28.588333,77.221667,50
28.639652,77.146275,61
28.422681,77.148944,
11.55358,76.55521,35
13.328028,75.797056,13
14.7918,75.3896,37
15.459706,75.008381,39
22.969611,72.6435,39
12.921418,77.502466,58
23.81748678,79.446246,
23.50016,80.23284,18
20.719516,77.000253,25
20.9402359,77.7895248,
8.8787,76.6073,23
26.200388,78.147714,61
22.431,75.5213,29
24.10897,82.64558,23
19.053536,72.84643,26
18.96702,72.84214,17
18.897756,72.81332,34
19.083694,72.920967,
19.1375,72.915056,16
19.000084,72.85673,19
19.060498,72.923356,37
18.59051,73.77946,30
18.616318,73.765797,35
19.047,72.8746,31
18.9936162,72.8128113,
20.0073285,73.7762427,19
21.14472,79.107595,42
18.547056,73.826908,18
18.664282,73.763966,17
22.1166054,85.3945546,13
21.941841,86.728318,14
25.5586,91.8985,6
25.106006,76.469948,7
28.296139,74.961696,33
26.699557,77.898881,23
23.837789,73.714926,22
29.61075,74.283608,25
29.931624,73.864511,
26.358805,73.047444,
25.771061,73.340227,37
13.4127,80.1081,75
12.864618,79.659968,64
11.06825,79.07033,43
17.540891,78.358528,13
17.460103,78.334361,8
12.8777316,80.0834807,50
13.164544,80.26285,21
17.5184,78.278777,12
17.5316895,78.218939,
28.685382,77.453839,70
26.906111,80.948222,37
26.8458805,80.9365541,45
22.6025571,88.3105664,42
25.32393,82.99687,15
28.856664,78.772638,59
28.83526,78.7446,18
30.075911,78.2859547,14
22.06047,88.109737,25
14.465052,78.824187,64
24.82827,92.79525,35
26.987634,94.636574,18
16.509717,80.612222,55
26.071318,91.87488,
25.376776,86.471523,23
26.1403345,85.3650192,47
26.1209,85.3647,48
25.560083,87.553265,
22.1910172,83.5197009,15
25.610369,85.132568,59
25.619651,85.147382,42
22.348441,82.549611,53
21.371751,81.664929,61
28.815329,77.15301,53
25.0328,85.41948,
25.859655,85.77944,64
28.5512005,77.2735737,45
21.185571,81.343175,
28.628624,77.24106,64
28.58028,77.233829,39
28.63611,77.173332,58
28.563262,77.186937,
28.732528,77.11992,72
28.6514781,77.1473105,87
28.672342,77.31526,52
23.041137,72.456691,29
14.4758,75.9052,26
12.920984,77.584908,20
12.7816279,77.6299145,40
15.3714823,75.1160168,27
17.336318,76.847397,26
12.951913,77.539784,26
20.362421,72.918013,36
12.21041,76.37376,13
23.331731,75.045981,22
23.168606,79.932247,19
19.10122,74.73339,28
23.218135,79.95777,19
23.233584,77.400574,16
8.5637,76.8865,47
19.0243902,73.0406721,18
19.0632143,72.8456324,26
18.39963,76.57452,14
18.1023399,73.4783687,33
19.11074,72.86084,
19.854616,75.905894,25
19.000083,72.813993,29
19.175,72.9419,35
21.152875,79.0517531,17
30.736056,76.209694,94
30.9028,75.8086,93
21.869985,85.167016,20
22.265816,86.174829,31
22.18972222,84.86277778,44
20.34652,85.8163,11
20.94185,86.1151,23
11.9309,79.8027,24
30.233011,74.907758,23
26.470859,74.646594,40
23.55519,74.44001,39
26.29581,73.082283,20
26.215415,73.070156,11
25.344694,72.626208,20
25.339605,74.618883,
26.786682,75.827928,207
26.960669,75.771817,20
26.9502929,75.730943,53
10.358535,77.984321,28
26.031443,76.359327,35
27.608912,75.153302,19
24.885261,72.857549,22
11.4068288,76.7138973,
9.36399,78.831977,38
13.1662,80.2584,31
24.041198,74.780702,24
12.746998,77.813811,
25.196024,75.855668,33
12.9533,80.2357,32
17.4559458,78.4332152,29
23.8175497,91.2726974,23
27.106972,78.000111,19
11.0973603,77.3228673,5
27.1594,78.3953,
17.393559,78.339194,43
11.679111,78.125052,35
17.470431,78.566959,62
28.5898,77.3101,71
28.999264,77.7590354,59
25.3505986,82.9083074,19
30.269444,78.044167,
26.4703136,80.3229863,33
28.802625,78.753728,53
23.508764,87.35444,17
22.58157048,88.41002457,32
22.49929,88.36917,55
22.627847,88.380669,49
26.6879226,88.4152495,30
25.251013,86.989001,
25.265194,87.012947,21
25.204762,85.51496,
26.10887,91.589544,84
26.1875,91.744194,7
26.349082,92.68449,62
24.7955,84.9994,99
26.11442,85.39813,22
