latitude,longitude,no2
14.465052,78.824187,14.0
16.9872867,81.7363176,17.0
13.615387,79.40923,8.0
25.560083,87.553265,14.0
25.5626095,84.663264,7.0
25.376776,86.471523,4.0
24.7955,84.9994,1.0
24.762518,84.982348,18.0
26.071318,91.87488,
26.446912,91.439057,5.0
30.751462,76.762879,10.0
30.719859,76.738637,31.0
21.185571,81.343175,23.0
21.224231,81.40835,22.0
28.7256504,77.2011573,31.0
25.596727,85.085624,45.0
25.892357,86.590325,7.0
28.498571,77.26484,54.0
28.5710274,77.0719006,56.0
28.73282,77.170633,23.0
28.58028,77.233829,49.0
23.163798,72.677768,28.0
28.5504249,77.2159377,57.0
28.710508,77.249485,26.0
28.531346,77.190156,30.0
23.107969,72.574648,71.0
23.002657,72.591912,24.0
28.570173,76.933762,42.0
28.563262,77.186937,34.0
17.336318,76.847397,12.0
13.003872,77.664217,36.0
13.94,75.555917,25.0
20.362421,72.918013,14.0
11.55358,76.55521,28.0
8.8787,76.6073,9.0
8.5637,76.8865,6.0
20.719516,77.000253,21.0
23.218135,79.95777,22.0
24.2613009,80.7231783,10.0
22.624758,75.675238,20.0
23.168606,79.932247,28.0
22.9682591,76.064118,31.0
19.11074,72.86084,19.0
19.0364585,72.8954371,13.0
19.0632143,72.8456324,14.0
19.9629,79.298714,8.0
19.9775302,79.2337086,10.0
20.918946,74.776388,4.0
19.04946,72.923,9.0
20.555712,74.529236,13.0
19.1375,72.915056,7.0
19.000084,72.85673,9.0
19.000083,72.813993,38.0
18.664282,73.763966,24.0
17.6336264,75.9132495,3.0
18.57304,73.927715,51.0
18.536457,73.805454,23.0
19.9591346,73.7788008,3.0
21.14472,79.107595,18.0
19.02579,73.10297,24.0
11.9309,79.8027,14.0
27.554793,76.611536,17.0
23.55519,74.44001,9.0
20.48891,85.84768,6.0
24.8207389,93.9423085,
25.6635413,94.0989878,3.0
28.296139,74.961696,4.0
28.194909,76.862296,30.0
26.215415,73.070156,5.0
26.358805,73.047444,
28.018792,73.292658,
25.435774,75.644272,13.0
24.892047,74.623527,9.0
25.344694,72.626208,7.0
25.771061,73.340227,26.0
12.9533,80.2357,8.0
13.1036,80.2909,44.0
17.540891,78.358528,33.0
17.460103,78.334361,29.0
13.4127,80.1081,10.0
12.8777316,80.0834807,13.0
10.423417,78.784889,
9.36399,78.831977,17.0
10.798548,79.838212,5.0
24.885261,72.857549,5.0
13.164544,80.26285,9.0
28.757294,77.278792,42.0
27.19412,77.96237,17.0
28.964949,77.278761,35.0
17.544899,78.486949,13.0
17.5184,78.278777,16.0
17.417094,78.457437,16.0
27.106972,78.000111,9.0
28.47272,77.482,27.0
28.557054,77.453663,43.0
27.168897,78.37696,17.0
27.19865833,78.00598056,4.0
28.83526,78.7446,23.0
28.9535882,77.7622941,20.0
29.4723508,77.7194031,26.0
23.697936,86.944395,10.0
22.06047,88.109737,17.0
22.629801,88.352017,21.0
22.554954,88.292568,12.0
16.536107,80.594233,21.0
25.7808257,84.7446768,115.0
24.792403,84.992416,5.0
13.67,79.35,11.0
13.20488,79.097889,28.0
25.697189,85.2459,13.0
25.265194,87.012947,9.0
24.82827,92.79525,14.0
25.859655,85.77944,1.0
24.952822,84.002396,2.0
26.2271665,84.3570427,4.0
22.1910172,83.5197009,27.0
21.258815,81.578979,13.0
28.656756,77.227234,
28.7500499,77.1112615,27.0
28.7762,77.051074,21.0
22.06631475,83.33820077,17.0
25.586562,85.043586,32.0
28.684678,77.076574,48.0
22.977134,72.553024,30.0
28.672342,77.31526,17.0
28.6573814,77.1585447,26.0
28.639652,77.146275,36.0
28.60909,77.0325413,43.0
28.822836,77.101981,36.0
28.56789,77.250515,30.0
28.63611,77.173332,20.0
23.04307,72.562968,21.0
28.6811736,77.3025234,71.0
13.428828,77.731418,14.0
15.888653,74.541751,
12.9135218,77.5950804,26.0
12.951913,77.539784,2.0
13.029152,77.585901,18.0
12.920984,77.584908,
23.221714,72.654328,15.0
22.969611,72.6435,7.0
28.422681,77.148944,
12.733409,77.298051,16.0
23.50016,80.23284,22.0
19.16485,73.23409,45.0
23.838586,78.759431,6.0
23.142888,79.916147,12.0
16.802639,75.722694,
23.264759,77.381568,15.0
23.233584,77.400574,37.0
19.854616,75.905894,43.0
19.192056,72.9585188,9.0
16.6870449,74.2505872,15.0
16.7143745,74.2426398,2.0
18.1023399,73.4783687,23.0
19.2058,72.8682,11.0
19.19709,72.82204,37.0
19.23241,72.86895,20.0
19.1878657,72.8304069,17.0
19.1135051,73.008978,35.0
19.0575752,73.0151367,8.0
19.445821,72.7988231,17.0
18.60577,73.749976,11.0
19.173852,77.296291,
20.0073285,73.7762427,25.0
19.95022,73.73148,3.0
19.3832,72.8204,16.0
21.121801,79.04952,13.0
20.832874,85.104082,6.0
20.34652,85.8163,18.0
26.470859,74.646594,40.0
22.265816,86.174829,16.0
21.51161,86.89088,13.0
30.736056,76.209694,28.0
25.747299,71.393989,5.0
25.196024,75.855668,15.0
25.03636,73.883502,6.0
8.728442,77.6962,7.0
11.0973603,77.3228673,3.0
27.33853,88.614099,
17.470431,78.566959,18.0
11.0328,77.0349,8.0
29.931624,73.864511,43.0
26.159933,75.780517,9.0
11.7637683,79.7499835,13.0
17.393559,78.339194,14.0
28.685382,77.453839,43.0
28.6603346,77.3572563,31.0
23.508764,87.35444,21.0
23.549395,87.300496,16.0
23.618183,87.105718,4.0
30.269444,78.044167,
28.5447608,77.3231257,29.0
25.262326,82.995408,2.0
22.5367507,88.3638022,31.0
22.49929,88.36917,43.0
26.6879226,88.4152495,24.0
26.1403345,85.3650192,12.0
26.1209,85.3647,11.0
16.554731,80.64911,17.0
17.72,83.3,84.0
26.987634,94.636574,13.0
25.204762,85.51496,
25.56752,83.966379,10.0
16.5150833,80.5181667,36.0
26.10887,91.589544,15.0
21.219665,81.630094,17.0
22.368195,82.746431,7.0
25.592539,85.227158,9.0
25.619651,85.147382,33.0
23.243639,72.68994,49.0
28.732528,77.11992,44.0
23.023389,72.515201,22.0
23.076793,72.627874,8.0
28.3153,76.9143,33.0
23.80569,86.44268,78.0
13.0246342,77.5080115,22.0
13.328028,75.797056,19.0
16.172806,75.659694,9.0
12.21041,76.37376,20.0
14.4758,75.9052,15.0
15.459706,75.008381,21.0
13.008556,76.125258,13.0
10.073232,76.302765,11.0
10.5324,76.2159,13.0
26.200388,78.147714,20.0
19.8389439,75.244448,19.0
19.296481,72.840923,4.0
19.053536,72.84643,8.0
19.175,72.9419,14.0
18.91,72.82,30.0
19.083694,72.920967,
18.39963,76.57452,13.0
18.897756,72.81332,8.0
19.0863,72.8888,4.0
18.9767,72.838,13.0
18.614767,73.799516,15.0
18.616318,73.765797,20.0
18.9936162,72.8128113,
18.63673,73.82487,14.0
18.459883,73.852193,4.0
18.45445,73.854155,6.0
17.65439,75.90649,15.0
19.26777,72.97182,15.0
20.94185,86.1151,24.0
21.6439,85.599355,14.0
27.215415,77.50873,17.0
25.339605,74.618883,8.0
31.321907,75.578914,32.0
30.349388,76.366642,22.0
21.941841,86.728318,9.0
22.06156703,85.47409613,7.0
21.8004996,83.8396977,15.0
26.912329,70.909168,7.0
26.699557,77.898881,5.0
26.9164092,75.7994901,93.0
27.608912,75.153302,13.0
26.29581,73.082283,9.0
26.253384,72.976571,3.0
